name,service,activity_markdown,link_url,color_logo_url,white_logo_url,is_active,footer,psf_sponsor,infra_sponsor,one_time,sidebar
Facebook / Instagram,,Facebook / Instagram is a sustainability sponsor of the Python Software Foundation.,https://research.fb.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/facebook-instagram-color-logo-znA-4MDT.png,https://storage.googleapis.com/pypi-assets/sponsorlogos/facebook-instagram-white-logo-gPhjWdzr.png,t,t,t,f,f,t
Latacora,,Latacora is a contributing sponsor of the Python Software Foundation.,https://www.latacora.com,https://storage.googleapis.com/pypi-assets/sponsorlogos/latacora-color-logo-r5iAsqf0.png,https://storage.googleapis.com/pypi-assets/sponsorlogos/latacora-white-logo-2bsVuZpq.png,t,f,t,f,f,t
Google,Object Storage and Download Analytics,Google is a visionary sponsor of the Python Software Foundation.,https://careers.google.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/google-color-logo-2uT7IlTp.png,https://storage.googleapis.com/pypi-assets/sponsorlogos/google-white-logo-ag4BN7t3.png,t,t,t,t,f,t
Salesforce,,Salesforce is a sustainability sponsor of the Python Software Foundation.,https://opensource.salesforce.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/salesforce-color-logo-jFaM31BY.png,https://storage.googleapis.com/pypi-assets/sponsorlogos/salesforce-white-logo-E9gz0Sx-.png,t,t,t,f,f,t
Sentry,Error logging,"The PyPI team uses Sentry to capture, record, and respond to exceptions and errors on PyPI.",https://getsentry.com/for/python,https://storage.googleapis.com/pypi-assets/sponsorlogos/sentry-color-logo-4n0jeHxP.png,https://storage.googleapis.com/pypi-assets/sponsorlogos/sentry-white-logo-1Uh6uL2E.png,t,f,f,t,f,f
"Elasticsearch, Inc.",,"Elasticsearch, Inc. is a partner sponsor of the Python Software Foundation.",https://www.elastic.co/,https://storage.googleapis.com/pypi-assets/sponsorlogos/elasticsearch-inc-color-logo-Tb33ewTv.svg,https://storage.googleapis.com/pypi-assets/sponsorlogos/elasticsearch-inc-white-logo-CzLcfxB9.png,t,f,t,f,f,f
SonarSource,,SonarSource is a partner sponsor of the Python Software Foundation.,https://www.sonarsource.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/sonarsource-color-logo-BqjKyRZG.png,,t,f,t,f,f,f
Tara AI,,Tara AI is a partner sponsor of the Python Software Foundation.,http://tara.ai/?utm_source=PyCon&utm_medium=Sponsorship&utm_campaign=PyCon%202021,https://storage.googleapis.com/pypi-assets/sponsorlogos/tara-ai-color-logo-xvtgzWa9.png,,t,f,t,f,f,f
Tidelift,,Tidelift is a partner sponsor of the Python Software Foundation.,https://tidelift.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/tidelift-color-logo-gdZjLrcT.png,,t,f,t,f,f,f
AWS,Cloud computing,"PyPI uses AWS infrastructure to host the machines that power our services, serve DNS, host our databases, and send and monitor email.",https://aws.amazon.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/aws-color-logo-AloCRR0a.png,https://storage.googleapis.com/pypi-assets/sponsorlogos/aws-white-logo-tCaTs8zC.png,t,f,f,t,f,f
Fastly,CDN,"PyPI uses Fastly's CDN to quickly serve content to end-users, allowing us to minimize our hosting infrastructure and obscure possible downtime.",https://www.fastly.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/fastly-color-logo-vlmBL3eL.png,https://storage.googleapis.com/pypi-assets/sponsorlogos/fastly-white-logo-ehM0ws_o.png,t,f,f,t,f,f
Microsoft,,Microsoft is a visionary sponsor of the Python Software Foundation.,https://azure.microsoft.com/en-us/develop/python/,https://storage.googleapis.com/pypi-assets/sponsorlogos/microsoft-color-logo-qdS6FbR3.png,https://storage.googleapis.com/pypi-assets/sponsorlogos/microsoft-white-logo-ZD1rhTDF.png,t,t,t,f,f,t
StatusPage,Status page,"The PyPI team uses StatusPage to communicate downtime, service degradation, or maintenance windows to end-users.",https://statuspage.io,https://storage.googleapis.com/pypi-assets/sponsorlogos/statuspage-color-logo-B22Cktnk.png,https://storage.googleapis.com/pypi-assets/sponsorlogos/statuspage-white-logo-TgGljJ-P.png,t,f,f,t,f,f
